roi,Rthal,Lthal,Lhippo,Rhippo,Rpal,Lput,Rput,Lpal,Lcaud,Rcaud,Raccumb,Laccumb,Lamyg,Ramyg,RLatVent,LLatVent
meta_d,-0.368,-0.358,-0.353,-0.336,-0.316,-0.247,-0.239,-0.172,-0.121,-0.080,-0.064,-0.017,0.102,0.110,0.268,0.288
meta_se,0.049,0.074,0.069,0.054,0.055,0.063,0.075,0.081,0.050,0.054,0.093,0.079,0.070,0.060,0.034,0.041
meta_zval,-7.476,-4.839,-5.121,-6.175,-5.762,-3.935,-3.169,-2.105,-2.417,-1.489,-0.683,-0.211,1.449,1.827,7.864,7.025
meta_pval,7.67E-14,1.31E-06,3.04E-07,6.63E-10,8.32E-09,8.30E-05,1.53E-03,3.53E-02,1.56E-02,1.36E-01,4.94E-01,8.33E-01,1.47E-01,6.76E-02,3.73E-15,2.14E-12
meta_ci.lb,-0.465,-0.503,-0.488,-0.443,-0.424,-0.370,-0.386,-0.331,-0.220,-0.186,-0.246,-0.172,-0.036,-0.008,0.201,0.208
meta_ci.ub,-0.272,-0.213,-0.218,-0.230,-0.209,-0.124,-0.091,-0.012,-0.023,0.025,0.119,0.138,0.240,0.228,0.334,0.369
meta_tau2,0.024,0.093,0.076,0.035,0.036,0.057,0.097,0.119,0.026,0.035,0.168,0.111,0.081,0.050,0.000,0.009
meta_tause,0.016,0.038,0.033,0.020,0.021,0.027,0.040,0.047,0.017,0.020,0.061,0.044,0.035,0.025,0.007,0.011
meta_i2,44.822,75.649,71.845,54.801,55.575,65.337,76.744,79.548,47.687,54.697,85.163,79.228,73.594,63.438,0.000,23.338
meta_h2,1.812,4.107,3.552,2.212,2.251,2.885,4.300,4.889,1.912,2.207,6.740,4.814,3.787,2.735,1.000,1.304
meta_nctl,1716,1687,1707,1719,1710,1636,1690,1609,1724,1725,1702,1707,1717,1693,1722,1722
meta_npat,2137,2104,2125,2129,2112,2075,2127,1991,2135,2137,2137,2136,2124,2108,2137,2135
